emp_no,first_name,last_name,title,from_date,to_date,birth_date
17970,Filipp,Carrere,Technique Leader,1989-01-09,9999-01-01,1965-01-06
18021,Adil,Matzke,Senior Engineer,1995-05-08,9999-01-01,1965-01-07
18424,Filipp,Rousseau,Senior Engineer,2002-06-07,9999-01-01,1965-01-19
18583,Stafford,Honglei,Staff,1998-08-16,9999-01-01,1965-01-03
18617,Surveyors,Crouzet,Senior Staff,1998-04-24,9999-01-01,1965-01-21
18810,Taiji,Jarecki,Senior Engineer,1999-06-27,9999-01-01,1965-01-09
19236,Elzbieta,Morris,Senior Engineer,1993-07-12,9999-01-01,1965-01-24
19803,Ziva,Kowalchuk,Senior Engineer,1992-06-12,9999-01-01,1965-01-30
19350,Satoru,Yoshizawa,Senior Staff,1999-03-27,9999-01-01,1965-01-19
20100,Utz,Heuter,Senior Staff,1995-06-15,9999-01-01,1965-01-18
20128,Kazunori,Peak,Senior Staff,1999-08-13,9999-01-01,1965-01-23
20129,Rafael,Skafidas,Senior Engineer,2000-03-27,9999-01-01,1965-01-10
20885,Otmar,Rothenberg,Senior Engineer,1996-03-14,9999-01-01,1965-01-21
20248,Vidar,Demri,Staff,1999-12-31,9999-01-01,1965-01-12
20313,Candida,Benveniste,Engineer,1999-01-20,9999-01-01,1965-01-24
20500,Christoph,Trystram,Senior Staff,1998-10-15,9999-01-01,1965-01-30
21546,Yongmin,Lanteri,Senior Staff,1988-02-16,9999-01-01,1965-01-01
21181,Jianhui,Cangellaris,Engineer,1999-10-06,9999-01-01,1965-01-21
21188,Piyush,Danecki,Engineer,2000-01-08,9999-01-01,1965-01-21
21843,Karsten,Azadmanesh,Senior Engineer,1985-11-29,9999-01-01,1965-01-09
21909,Mohammed,Brizzi,Senior Staff,1998-12-28,9999-01-01,1965-01-04
22451,Jasminko,Bresenham,Senior Staff,1996-12-15,9999-01-01,1965-01-27
22185,Huai,Birch,Engineer,2002-03-26,9999-01-01,1965-01-29
22455,Barry,Unno,Senior Staff,1999-11-16,9999-01-01,1965-01-06
22926,Manibrata,Genther,Senior Engineer,1996-01-15,9999-01-01,1965-01-01
22415,Perla,Jumpertz,Senior Staff,1994-08-24,9999-01-01,1965-01-20
23396,Hilari,Fairtlough,Technique Leader,1986-12-15,9999-01-01,1965-01-02
24080,Jaana,Perez,Technique Leader,1996-03-11,9999-01-01,1965-01-26
24205,Roddy,Rubsam,Senior Engineer,1993-09-19,9999-01-01,1965-01-25
24377,Lubomir,Wroclawski,Senior Engineer,2000-07-25,9999-01-01,1965-01-25
24394,Zhonghui,Conta,Staff,1994-09-10,9999-01-01,1965-01-04
24553,Anwar,Passafiume,Senior Staff,1994-01-30,9999-01-01,1965-01-12
24571,Cordelia,Gischer,Senior Engineer,1995-03-14,9999-01-01,1965-01-20
25488,Ingmar,Basawa,Senior Staff,1997-11-08,9999-01-01,1965-01-19
26629,Nevin,Rodham,Senior Staff,1998-12-14,9999-01-01,1965-01-28
26788,Zongyan,Dalphin,Senior Engineer,1993-04-23,9999-01-01,1965-01-25
26671,Jiakeng,Kalorkoti,Senior Engineer,2001-12-25,9999-01-01,1965-01-21
27331,Wanqing,Krohm,Senior Staff,1999-01-22,9999-01-01,1965-01-19
27378,Piyawadee,Leppanen,Senior Staff,1999-02-25,9999-01-01,1965-01-28
27620,Shuji,Kandlur,Senior Engineer,1997-03-02,9999-01-01,1965-01-25
27767,Tooru,Veldwijk,Senior Staff,2000-11-21,9999-01-01,1965-01-27
27686,Manu,Rosiles,Senior Staff,1998-03-03,9999-01-01,1965-01-28
27699,Falguni,Pezzoli,Engineer,1996-12-23,9999-01-01,1965-01-15
28193,Xinglin,Mitsuhashi,Senior Engineer,1997-12-14,9999-01-01,1965-01-29
28974,Chenxi,Sundgren,Senior Engineer,1986-09-02,9999-01-01,1965-01-09
28988,Tua,Giveon,Technique Leader,1998-09-09,9999-01-01,1965-01-18
29265,Gilbert,Calkin,Senior Staff,1994-03-21,9999-01-01,1965-01-14
29130,Xumin,Thorensen,Staff,1998-04-26,9999-01-01,1965-01-06
29380,Satoru,Vidal,Assistant Engineer,1998-05-02,9999-01-01,1965-01-30
29782,Jouko,Hellwagner,Senior Engineer,1994-12-21,9999-01-01,1965-01-29
29418,Valery,Mersereau,Assistant Engineer,1998-07-01,9999-01-01,1965-01-22
29679,Kolar,Steenbeek,Senior Engineer,1986-10-18,9999-01-01,1965-01-17
29954,Pranay,Giarratana,Senior Engineer,1992-09-29,9999-01-01,1965-01-27
30154,Mayuko,Skafidas,Technique Leader,1999-04-19,9999-01-01,1965-01-26
30007,Kousuke,Vecchio,Senior Engineer,1999-02-23,9999-01-01,1965-01-24
30035,Tetsushi,Conta,Senior Staff,1995-07-04,9999-01-01,1965-01-08
30465,Randi,Avouris,Senior Engineer,1991-07-16,9999-01-01,1965-01-28
30182,Leon,Potthoff,Senior Engineer,1993-12-08,9999-01-01,1965-01-26
30484,Sailaja,Chvatal,Staff,1999-05-18,9999-01-01,1965-01-11
31341,Oksana,Zultner,Senior Staff,1997-03-22,9999-01-01,1965-01-01
30695,Gudjon,Majewski,Senior Engineer,1999-10-26,9999-01-01,1965-01-08
30938,Yakkov,Samarati,Senior Staff,2000-05-22,9999-01-01,1965-01-06
31147,Divine,Sidhu,Senior Staff,1989-07-05,9999-01-01,1965-01-04
31188,Leandro,Gist,Technique Leader,1993-02-03,9999-01-01,1965-01-12
31207,Abdelwaheb,Dulin,Senior Engineer,1993-08-05,9999-01-01,1965-01-30
31568,Mark,Lalonde,Staff,1996-11-24,9999-01-01,1965-01-10
31514,Harngdar,Schapire,Senior Engineer,2001-11-09,9999-01-01,1965-01-13
31909,Murthy,Peek,Engineer,1994-07-19,9999-01-01,1965-01-10
32347,Terresa,Peres,Senior Staff,1997-09-15,9999-01-01,1965-01-08
32552,Atreye,Stanger,Engineer,1999-09-10,9999-01-01,1965-01-17
32714,Radoslaw,Maliniak,Staff,1997-11-17,9999-01-01,1965-01-16
32649,Ingmar,Nannarelli,Senior Staff,1988-06-10,9999-01-01,1965-01-12
33025,Jessie,Thorelli,Senior Staff,1999-12-16,9999-01-01,1965-01-12
32844,Tadahiko,Melton,Engineer,1995-01-07,9999-01-01,1965-01-23
33215,Steen,Fasbender,Technique Leader,1993-02-14,9999-01-01,1965-01-29
34077,Angel,Sichman,Senior Staff,1997-11-16,9999-01-01,1965-01-08
34261,Kyoichi,Callaway,Senior Staff,1996-12-29,9999-01-01,1965-01-05
33722,Anwar,Collette,Senior Engineer,1994-03-22,9999-01-01,1965-01-15
34446,Chinhyun,Bauknecht,Senior Engineer,1986-12-19,9999-01-01,1965-01-31
34452,Naftaly,Foong,Senior Engineer,2000-05-09,9999-01-01,1965-01-08
34505,Felicidad,Kumaresan,Senior Staff,2001-09-06,9999-01-01,1965-01-28
34533,Erzsebet,Shigei,Senior Engineer,1991-01-21,9999-01-01,1965-01-10
34780,Moni,Kohling,Staff,1994-07-21,9999-01-01,1965-01-16
34788,Ennio,Babu,Senior Engineer,1994-08-31,9999-01-01,1965-01-27
34936,Bokyung,Stamatiou,Technique Leader,1991-02-12,9999-01-01,1965-01-12
35793,Oscar,Kusalik,Senior Staff,1996-05-10,9999-01-01,1965-01-01
35044,Jiang,Waschkowski,Senior Engineer,1997-05-27,9999-01-01,1965-01-04
35087,Leif,Ashish,Senior Staff,2001-10-14,9999-01-01,1965-01-17
35441,Chandrasekaran,Peek,Senior Engineer,1993-02-06,9999-01-01,1965-01-31
35798,Ulf,Oberman,Senior Engineer,1997-03-15,9999-01-01,1965-01-29
36626,Fen,Genin,Senior Staff,1986-05-09,9999-01-01,1965-01-02
35642,Ashish,Talmon,Senior Engineer,2002-06-13,9999-01-01,1965-01-30
36521,Serif,Gladwell,Senior Staff,1993-03-05,9999-01-01,1965-01-21
36844,Hailing,Levergood,Staff,2000-01-12,9999-01-01,1965-01-01
36733,Uma,Reinhard,Staff,1997-11-01,9999-01-01,1965-01-04
36982,Kotesh,Rajala,Senior Engineer,2000-06-23,9999-01-01,1965-01-22
37070,Jeong,Undy,Senior Staff,1993-02-13,9999-01-01,1965-01-22
37945,Suzette,Butterworth,Senior Engineer,1994-02-19,9999-01-01,1965-01-02
38550,JoAnne,Baez,Senior Engineer,1987-02-16,9999-01-01,1965-01-14
38043,Michaela,Randi,Senior Engineer,1994-11-23,9999-01-01,1965-01-05
38103,Masasuke,Babu,Senior Engineer,1993-03-31,9999-01-01,1965-01-12
38168,Fumiko,Deverell,Senior Staff,1996-08-14,9999-01-01,1965-01-14
38593,Huei,Orsini,Senior Engineer,1995-06-04,9999-01-01,1965-01-14
38947,Shuichi,Ruemmler,Senior Staff,1998-03-08,9999-01-01,1965-01-25
39036,Changho,Cappelli,Staff,1996-05-04,9999-01-01,1965-01-08
39000,Martijn,Vendrig,Senior Staff,2002-03-03,9999-01-01,1965-01-08
39301,Rimon,Kawashima,Senior Staff,1998-02-05,9999-01-01,1965-01-07
40269,Toshiki,Ghazalie,Senior Staff,2000-12-04,9999-01-01,1965-01-10
39341,Mahmut,Lampe,Senior Engineer,1994-05-11,9999-01-01,1965-01-01
39952,Otmar,Sudbeck,Staff,1998-07-22,9999-01-01,1965-01-02
40283,Sudhanshu,Boissier,Senior Engineer,1993-05-11,9999-01-01,1965-01-07
40301,Spyrose,Felder,Senior Engineer,1996-06-16,9999-01-01,1965-01-20
41609,Yucai,Simmen,Senior Staff,1987-10-13,9999-01-01,1965-01-04
40536,Harngdar,Bernardinello,Senior Engineer,1996-02-29,9999-01-01,1965-01-20
40765,Michaela,Ramsak,Senior Staff,2001-12-21,9999-01-01,1965-01-01
40773,Shimshon,Aingworth,Senior Staff,1991-04-13,9999-01-01,1965-01-09
40983,Marla,Cherinka,Technique Leader,1986-12-01,9999-01-01,1965-01-17
41114,Petter,Thummel,Technique Leader,1995-12-24,9999-01-01,1965-01-25
41137,Bikash,Buchter,Senior Staff,1992-11-22,9999-01-01,1965-01-20
41357,Willard,Vernadat,Engineer,1997-03-04,9999-01-01,1965-01-06
41518,Keung,Schapiro,Senior Engineer,1998-04-19,9999-01-01,1965-01-11
41520,Xiong,Uhrik,Senior Engineer,1988-03-21,9999-01-01,1965-01-20
42911,Brigham,Eterovic,Senior Engineer,1999-10-08,9999-01-01,1965-01-29
42778,Shuji,Remmers,Senior Staff,1996-12-17,9999-01-01,1965-01-19
42950,Shaleah,Eickenmeyer,Senior Staff,1993-10-09,9999-01-01,1965-01-22
42955,Yucel,Lortz,Engineer,1995-02-21,9999-01-01,1965-01-12
43154,Maha,Waterhouse,Senior Staff,2002-07-04,9999-01-01,1965-01-13
43733,Huei,Boguraev,Senior Staff,1998-12-31,9999-01-01,1965-01-26
44265,Maria,Eppinger,Engineer,1997-01-30,9999-01-01,1965-01-24
43848,Phillip,Oxenboll,Engineer,1999-05-26,9999-01-01,1965-01-11
44054,Alenka,Ritcey,Engineer,1997-02-09,9999-01-01,1965-01-18
44540,Mingzeng,Sadowski,Senior Engineer,1989-11-12,9999-01-01,1965-01-16
44900,Mark,Schwaller,Senior Staff,2001-08-10,9999-01-01,1965-01-05
46811,Junsik,Berendt,Senior Engineer,1988-04-27,9999-01-01,1965-01-10
44959,Volkmar,Uhrik,Senior Engineer,1995-01-16,9999-01-01,1965-01-21
44962,Sariel,Wynblatt,Assistant Engineer,1996-05-18,9999-01-01,1965-01-16
45162,Dulce,Speel,Senior Engineer,1996-10-18,9999-01-01,1965-01-11
46000,Zhaofang,Penn,Senior Staff,2002-07-24,9999-01-01,1965-01-26
46328,Wuxu,Trogemann,Senior Staff,1997-01-27,9999-01-01,1965-01-05
46834,Tooru,Daescu,Senior Staff,1998-03-20,9999-01-01,1965-01-22
47016,Toong,Litecky,Senior Staff,1994-03-01,9999-01-01,1965-01-03
46943,Pasqua,Maraist,Senior Engineer,1998-12-06,9999-01-01,1965-01-31
47262,Gonzalo,Binkley,Senior Engineer,1990-08-16,9999-01-01,1965-01-10
47139,Marco,Usdin,Engineer,1996-10-29,9999-01-01,1965-01-25
48275,Sariel,Massonet,Senior Staff,1993-11-19,9999-01-01,1965-01-29
47515,Naraig,Jenevein,Senior Engineer,1987-01-18,9999-01-01,1965-01-26
47702,Juyoung,Vieri,Senior Staff,1999-08-12,9999-01-01,1965-01-21
47708,Edwin,Haldar,Senior Staff,1995-07-12,9999-01-01,1965-01-05
48690,Hitomi,Schaap,Staff,1999-09-27,9999-01-01,1965-01-12
48882,Leen,Lamparter,Senior Engineer,2001-06-07,9999-01-01,1965-01-28
48904,Yuichiro,Malabarba,Senior Staff,1999-03-07,9999-01-01,1965-01-23
49119,Lena,Peek,Senior Engineer,1997-05-15,9999-01-01,1965-01-09
48947,Filipp,Akaboshi,Senior Staff,1992-05-20,9999-01-01,1965-01-05
49010,Kazuhisa,Benantar,Senior Staff,1994-10-23,9999-01-01,1965-01-16
49017,Filipp,Flanders,Senior Engineer,1999-11-26,9999-01-01,1965-01-07
49464,Siddarth,Cappelletti,Staff,1999-09-10,9999-01-01,1965-01-14
49177,Tze,Bach,Engineer,1999-03-09,9999-01-01,1965-01-03
49477,Baocai,Leaver,Senior Staff,1998-08-05,9999-01-01,1965-01-14
50293,Xinan,Rindone,Engineer,1996-10-08,9999-01-01,1965-01-26
50311,Mooi,Stafford,Senior Engineer,1996-10-06,9999-01-01,1965-01-24
50453,Aron,Harbusch,Staff,1997-10-02,9999-01-01,1965-01-12
50670,Boguslaw,Snedden,Senior Staff,1993-02-20,9999-01-01,1965-01-30
50831,Marie,Khalid,Senior Engineer,1990-10-27,9999-01-01,1965-01-06
51036,Chriss,Fasbender,Staff,1995-05-23,9999-01-01,1965-01-29
51057,Theirry,Albarhamtoshy,Senior Staff,1996-09-26,9999-01-01,1965-01-29
51060,Youngkon,Rohrbach,Senior Engineer,1998-10-20,9999-01-01,1965-01-15
52038,Chikako,Armand,Senior Engineer,1985-05-18,9999-01-01,1965-01-13
51142,Rosine,Lakshmanan,Senior Engineer,1991-01-31,9999-01-01,1965-01-29
52040,Phule,Heijenga,Senior Staff,1998-02-21,9999-01-01,1965-01-14
52386,Adas,Denti,Senior Staff,1995-05-30,9999-01-01,1965-01-28
52283,Trygve,Krupka,Senior Staff,2001-03-11,9999-01-01,1965-01-20
52590,Jouni,Munoz,Senior Staff,2000-11-25,9999-01-01,1965-01-21
52599,Augustine,Mungall,Senior Engineer,1996-08-30,9999-01-01,1965-01-25
52639,Arup,Colorni,Senior Staff,1996-02-05,9999-01-01,1965-01-09
52770,Shugo,Yurek,Senior Staff,1998-08-28,9999-01-01,1965-01-31
52778,Alain,Penn,Technique Leader,1986-05-03,9999-01-01,1965-01-15
52956,Khalil,Picci,Senior Engineer,1992-03-20,9999-01-01,1965-01-31
52970,Lobel,Werthner,Senior Engineer,1997-03-17,9999-01-01,1965-01-22
53278,Premsyl,Lortz,Senior Staff,1999-02-01,9999-01-01,1965-01-31
53314,Eberhardt,Carrera,Staff,1999-02-23,9999-01-01,1965-01-06
53597,Jiafu,Marchegay,Senior Engineer,1992-03-02,9999-01-01,1965-01-30
53431,Sham,Vasanthakumar,Senior Staff,1985-10-24,9999-01-01,1965-01-12
53499,Zdislav,Mandelberg,Senior Engineer,2000-09-10,9999-01-01,1965-01-20
54198,Shaowen,Segond,Senior Engineer,1993-01-06,9999-01-01,1965-01-01
53874,Bodo,Schade,Senior Staff,1995-02-14,9999-01-01,1965-01-23
53924,Arnould,Gaughan,Senior Engineer,1998-01-23,9999-01-01,1965-01-27
54795,Sumant,Nergos,Senior Staff,2000-05-07,9999-01-01,1965-01-29
54632,Etsuo,Serot,Senior Staff,1997-06-14,9999-01-01,1965-01-19
54800,Breannda,Cangellaris,Staff,2000-01-27,9999-01-01,1965-01-13
56209,Remzi,Douceur,Senior Engineer,1998-12-01,9999-01-01,1965-01-19
55640,Adit,Syrotiuk,Senior Engineer,1999-07-16,9999-01-01,1965-01-25
55687,Shih,Lindqvist,Senior Engineer,1995-03-29,9999-01-01,1965-01-02
55799,Jianwen,Litzler,Senior Engineer,1993-06-16,9999-01-01,1965-01-23
55857,Adin,Scallan,Senior Staff,1996-09-14,9999-01-01,1965-01-18
56105,Makato,Remmers,Senior Engineer,1994-04-16,9999-01-01,1965-01-11
56682,Roded,Picco,Assistant Engineer,1993-11-06,9999-01-01,1965-01-28
56415,Sigeru,Nivat,Senior Staff,1999-10-24,9999-01-01,1965-01-30
56428,Olivera,Hanabata,Senior Staff,1992-11-09,9999-01-01,1965-01-27
56829,Nagui,Gruenwald,Engineer,1995-12-24,9999-01-01,1965-01-09
56847,Menkae,Chinin,Senior Engineer,1989-08-19,9999-01-01,1965-01-14
58454,Ziya,Zambonelli,Engineer,1999-06-29,9999-01-01,1965-01-25
57934,Sanjoy,Boudaillier,Senior Engineer,1997-12-27,9999-01-01,1965-01-25
58141,Bezalel,Karner,Staff,1994-09-27,9999-01-01,1965-01-05
58147,Shigenori,Sullins,Senior Staff,1988-02-24,9999-01-01,1965-01-09
58384,Mariusz,Vural,Senior Engineer,2001-11-14,9999-01-01,1965-01-22
58497,Yechiam,Cairo,Senior Staff,1996-07-12,9999-01-01,1965-01-22
59640,Zita,Hiltgen,Staff,1999-01-26,9999-01-01,1965-01-18
58819,Gennady,Liesche,Senior Staff,1987-12-02,9999-01-01,1965-01-04
58990,Palash,Trelles,Engineer,1998-11-18,9999-01-01,1965-01-04
59195,Ronnie,Pollock,Technique Leader,1990-06-19,9999-01-01,1965-01-08
59869,Zsolt,Riefers,Senior Staff,1994-09-25,9999-01-01,1965-02-01
60238,Erzsebet,Claffy,Staff,1997-03-03,9999-01-01,1965-01-23
59966,Steen,Salvesen,Technique Leader,1993-02-03,9999-01-01,1965-01-28
60000,Heekeun,Emmart,Engineer,2001-09-22,9999-01-01,1965-01-16
60091,Surveyors,Bade,Senior Staff,1996-04-10,9999-01-01,1965-02-01
60821,Moty,Mersereau,Senior Staff,1999-09-03,9999-01-01,1965-01-02
60559,Jeanna,Stemann,Senior Engineer,1996-08-29,9999-01-01,1965-01-19
60845,Bedir,Siegrist,Engineer,1997-05-13,9999-01-01,1965-01-14
60875,Rildo,Masaki,Senior Engineer,1997-01-14,9999-01-01,1965-01-21
60959,Tetsushi,Sridhar,Senior Staff,1997-01-12,9999-01-01,1965-01-09
61147,Leszek,Werthner,Staff,1999-03-03,9999-01-01,1965-01-30
61377,Dannz,Ohori,Senior Staff,1994-01-17,9999-01-01,1965-01-01
61253,Cheong,Uhrik,Senior Engineer,2001-06-04,9999-01-01,1965-01-09
61873,Woody,Rusmann,Engineer,2002-02-26,9999-01-01,1965-01-19
61541,Kasidit,Papsdorf,Senior Engineer,1999-08-17,9999-01-01,1965-01-08
63294,Tetsushi,Tanemo,Senior Engineer,2002-03-01,9999-01-01,1965-01-23
62033,Heeju,Cappelli,Senior Engineer,1994-01-15,9999-01-01,1965-01-24
62046,Karlis,Nanard,Senior Engineer,2001-09-19,9999-01-01,1965-01-31
62245,Adel,Bressoud,Engineer,1995-08-30,9999-01-01,1965-01-01
63419,Hiroyasu,Seuren,Senior Engineer,1989-03-05,9999-01-01,1965-01-14
63441,Hinrich,Scallan,Staff,1999-04-04,9999-01-01,1965-01-15
63566,Heekeun,Slaats,Senior Staff,1999-01-12,9999-01-01,1965-01-31
63631,Falguni,Cherinka,Senior Engineer,1986-09-08,9999-01-01,1965-01-22
65539,Aksel,Picaronny,Senior Engineer,1998-01-27,9999-01-01,1965-01-23
63706,Sedat,Itzigehl,Engineer,1997-07-31,9999-01-01,1965-01-26
64023,Laurentiu,Benzmuller,Senior Engineer,1999-11-08,9999-01-01,1965-01-11
64209,Golgen,Schoegge,Senior Staff,1988-02-26,9999-01-01,1965-01-24
64487,Tsutomu,Rebaine,Senior Engineer,1994-09-17,9999-01-01,1965-01-27
64532,Atilio,Segond,Senior Engineer,1996-11-28,9999-01-01,1965-01-23
64632,Zsolt,Brender,Senior Staff,1996-02-21,9999-01-01,1965-01-07
64790,Shin,Piveteau,Senior Engineer,1993-04-19,9999-01-01,1965-01-29
64828,Krister,Pappas,Staff,1999-09-30,9999-01-01,1965-01-27
64984,Eldridge,Eldridge,Senior Engineer,1991-06-24,9999-01-01,1965-01-06
65171,Jeane,Tasistro,Technique Leader,1994-07-06,9999-01-01,1965-01-25
65883,Patricia,Pepe,Senior Staff,1996-04-18,9999-01-01,1965-01-07
65998,Mandell,Alameldin,Senior Staff,1996-04-08,9999-01-01,1965-01-09
66530,Dung,Leaver,Staff,1998-04-04,9999-01-01,1965-01-29
66382,Domenico,Candan,Engineer,1997-07-13,9999-01-01,1965-01-04
66807,Aiman,Rosaz,Senior Engineer,1999-05-22,9999-01-01,1965-01-21
66643,Jianhao,Tomescu,Engineer,1996-08-26,9999-01-01,1965-01-18
66702,Deniz,Thibadeau,Senior Engineer,2000-09-26,9999-01-01,1965-02-01
66757,Yonghong,Baig,Staff,1999-04-10,9999-01-01,1965-01-16
67320,Sadok,Lorys,Senior Staff,1987-05-10,9999-01-01,1965-01-18
67548,Fumitaka,Roohalamini,Staff,1998-06-27,9999-01-01,1965-01-11
68608,Yucai,Seghrouchni,Senior Engineer,1994-06-09,9999-01-01,1965-01-26
67934,Aiman,Gargeya,Senior Engineer,1993-03-07,9999-01-01,1965-01-07
68416,Munenori,Debuse,Senior Engineer,1990-11-08,9999-01-01,1965-01-27
68633,Chinhyun,Rassart,Senior Engineer,1993-07-29,9999-01-01,1965-01-28
68648,Jaques,DiGiano,Technique Leader,1992-04-01,9999-01-01,1965-01-25
69867,Miyeon,Rothe,Senior Staff,1997-04-08,9999-01-01,1965-01-22
69052,Shietung,Shrader,Senior Staff,1995-08-05,9999-01-01,1965-01-26
69219,Shuky,Redmiles,Senior Staff,1994-07-06,9999-01-01,1965-01-09
69878,Chinya,Cooke,Engineer,1997-01-29,9999-01-01,1965-01-24
70469,Tru,Miyakawa,Senior Staff,1998-09-03,9999-01-01,1965-01-12
69936,Lalit,Unni,Assistant Engineer,1998-12-06,9999-01-01,1965-01-23
71066,Domenick,Basart,Senior Staff,2001-01-04,9999-01-01,1965-01-27
70990,Arumugam,Nitta,Senior Engineer,1990-03-23,9999-01-01,1965-01-22
71243,Kinh,Buchter,Senior Engineer,1993-03-29,9999-01-01,1965-01-10
71141,Sajjad,Vitiello,Senior Staff,1997-02-16,9999-01-01,1965-01-02
71188,Pranjal,Schapiro,Senior Staff,1993-12-14,9999-01-01,1965-01-02
72190,Sajjad,Waeselynck,Engineer,1999-09-13,9999-01-01,1965-01-19
71334,Cathie,Peck,Senior Engineer,1998-04-12,9999-01-01,1965-01-15
71685,Kristinn,Olano,Senior Engineer,1989-10-03,9999-01-01,1965-01-01
71710,Hitomi,Takanami,Assistant Engineer,1997-12-15,9999-01-01,1965-01-31
71745,Adil,Laventhal,Engineer,2001-05-13,9999-01-01,1965-01-02
72194,Feiyu,Siepmann,Senior Engineer,1998-10-01,9999-01-01,1965-01-26
72232,Naraig,Veldwijk,Senior Engineer,1996-07-10,9999-01-01,1965-01-10
72640,Honglan,Hutton,Senior Engineer,1998-10-04,9999-01-01,1965-01-24
73233,Shigeo,Merey,Senior Engineer,1985-07-30,9999-01-01,1965-01-15
72918,Takahira,Szilard,Senior Staff,1993-01-15,9999-01-01,1965-01-22
73076,Froduald,Feldhoffer,Senior Engineer,1993-03-16,9999-01-01,1965-01-22
74200,Holgard,Weiland,Senior Engineer,1991-09-24,9999-01-01,1965-01-16
73516,Qingxiang,Badache,Senior Engineer,1996-06-25,9999-01-01,1965-01-14
73743,Anneke,Bernardeschi,Engineer,1999-11-01,9999-01-01,1965-01-15
74800,Yuuichi,Conde,Senior Engineer,1999-03-08,9999-01-01,1965-01-25
74344,Hiroyasu,Provine,Engineer,1994-11-25,9999-01-01,1965-02-01
74668,Masako,Bonifati,Senior Staff,1987-04-09,9999-01-01,1965-01-01
75354,Shuky,Jakobus,Senior Engineer,1993-06-16,9999-01-01,1965-01-11
76189,Kolar,Hinsberger,Senior Engineer,1994-10-20,9999-01-01,1965-01-02
75703,Kyoichi,Erman,Senior Engineer,2001-07-25,9999-01-01,1965-01-08
76201,Arif,Preusig,Senior Engineer,1992-04-02,9999-01-01,1965-01-10
78106,Ashish,Ratnaker,Senior Staff,1986-11-10,9999-01-01,1965-01-09
76640,Tristan,Mitsuhashi,Senior Engineer,2000-07-12,9999-01-01,1965-01-02
77030,Faiza,Garnham,Technique Leader,1986-03-02,9999-01-01,1965-01-02
77303,Xinglin,Birge,Senior Staff,2001-03-05,9999-01-01,1965-01-18
77647,Niranjan,Schaaf,Technique Leader,1989-11-05,9999-01-01,1965-01-07
77815,Ronghao,Picaronny,Engineer,2002-06-09,9999-01-01,1965-01-21
78363,Susumu,Fritzsche,Engineer,1998-06-23,9999-01-01,1965-01-03
78871,Conor,Ghandeharizadeh,Senior Engineer,1985-05-25,9999-01-01,1965-01-15
78469,Leucio,Cappelli,Staff,1997-08-22,9999-01-01,1965-01-28
79043,Katsuo,Hockney,Technique Leader,1999-11-07,9999-01-01,1965-01-24
79171,Guiseppe,Ellozy,Senior Engineer,1991-01-12,9999-01-01,1965-01-19
79310,Jeong,Cunliffe,Senior Staff,1996-10-27,9999-01-01,1965-01-24
79606,Arnd,Peir,Senior Engineer,1986-12-11,9999-01-01,1965-01-03
80067,Kazuhisa,Weiland,Senior Staff,1991-11-09,9999-01-01,1965-01-19
